keywords,likes,tweets
COVID-19,23,"DO NO HARM - OR 'SAVING' THEMSELVES?On March 12th, 2020, I wrote: ""Ventilators kill if not used appropriately, and for COVID 19 - there is never an appropriate time"" And yet they continued to execute people every day for three years and counting. Why? Just Following Orders?Ventilator-Associated Pneumonia was a driver for mortality - found in a new study from April 2023. ""Unsuccessful treatment of VAP is associated with greater mortality."" They always knew what was killing most patients. Yet ventilators and refused antibiotics continue to this day. David Dickson March 12, 2020 “Ventilators kill if not used appropriately, and for COVID 19 - there is never an appropriate time. But let's buy more especially from those experts in the medical equipment field such as vacuum cleaner and car manufacturers… Will they go through years of double-blind studies to make sure they are safe?” April 5, 2020 “Why does the world suddenly need millions of ventilators, when doctors continue to report that almost if not all patients who are intubated and placed on a ventilator ultimately die? What then is the point? Yet the cry for ventilators, masks and gloves is relentless. All of these are suddenly in short supply. All because of PANIC, hoarding and international health directives.” “Test kits started arriving and lock downs went into effect, one country after another. Doctors were panicking about being infected so followed international guidelines on INTUBATED ventilation instead of using masks or cannulas for oxygen. This is pretty much fatal for a pneumonia patient and ventilation is typically for someone with an inability to breathe mechanically, not for an issue with oxygen exchange in the lungs. Even in those without pneumonia, intubated ventilation can cause pneumonia and a loss of oxygen exchange, typically in 25%+ of cases. They even have a name for it - VAP (Ventilator Associated Pneumonia). Pneumonia  Age  Pre-Existing Conditions = Bodies start stacking up.” April 9, 2020 ""The next step, as per the Canadian Guidelines, would be to intubate me causing VAP (Ventilator Associated Pneumonia)*."" (Based on direction from  the WHO). ""I would then drown as my lungs filled up due to the pressure induced VAP"" ""Four months ago, I would receive pain medication and oxygen (as needed) through a cannula (nasal tube). I would have x-rays and antibiotics and be back with my family in a day or less."" May 7, 2020  “In the case of COVID 19 and ventilators, doctors who are supporting and condoning an active role in the clear misuse of ventilators are essentially killing their patients.” “From death by ventilator and a failure to use a known cheap treatment (Hydroxychloroquine and Azithromycin) to the lockdown induced deaths from heart attacks, diabetes, stroke, suicide and more, we are slowly suffocating while being 'gas' lighted by the media daily.” Speaking of Hydroxychloroquine All articles published in 2020 here. And how do we know they knew they were killing COVID patients? The biggest voice for early ventilation in Alberta admitted it in April 2021 and still continued to put people on early ventilation. Note the Average age of COVID Deaths at the time this was written. 82 years old! ""Very early on in this, we realized that there was a strong age cutoff to COVID where you didn’t survive if you got put on a ventilator. The studies made it clear that if you’re over 80 on a vent, you would die."""
COVID-19,10,"Well dogs reportedly can sniff out cancer an amazing amount of the time, so why not COVID 19?"
COVID-19,6,#SCOTUS Justice Neil Gorsuch called emergency measures taken during the COVID-19 crisis perhaps “the greatest intrusions on civil liberties in the peacetime history of this country.” via
COVID-19,0,Lingering impact of COVID-19 push Rutland May Days to the sidelines again - Kelowna News  Oh come on you assholes!! Enough already!!
COVID-19,2,Against? * Researchers Warn Some Covid-19 Vaccines Could Increase Risk Of [ contracting] HIV Infection….Highly unfortunate and terribly horrifying 💉
COVID-19,1,dismissed from my services without notice period during pandemic covid 19.please rejoin my services sir.
COVID-19,16,"""Republican attack on gain of function research?""  NIH funded gain of function research on BatCoV in Wuhan lab likely led to creation of SARS-CoV-2 and a lab leak to the COVID-19 pandemic. Dr Fauci lied to Congress about funding gain of function to conceal this possibility."
COVID-19,0,"the UK to that of previous years, Dr Coleman said that the threat of covid-19 had been wildly exaggerated and that there was no pandemic. In that first video, he warned that the pandemic fraud (or hoax) would result in the deaths of many old people (which it did),"
COVID-19,0,"NoteLike all qualified medical doctors who have told the truth about covid-19, Dr Vernon Coleman has been repeatedly lied about and libelled on the internet and in the mainstream media. In March 2020, after studying the covid death figures and comparing the death statistics in"
COVID-19,1,"Are we talking COVID-19 fomites, or Ebola fomites?"
COVID-19,4,Peter When are you going to reveal your role in COVID 19
COVID-19,1,do u think healingood would’ve been a better season if covid-19 never occurred? the season had so much potential … — mm maybe but i don't think it would have been much different tbh
COVID-19,0,"𝗧𝗶𝘁𝗹𝗲: Reduction in Spontaneous and Iatrogenic Preterm Births in Twin Pregnancies During COVID-19 Lockdown in Melbourne, Australia: A Multicenter Cohort Study.𝗔𝘂𝘁𝗵𝗼𝗿𝘀: Juliana M Manno, Melvin B Marzan, Daniel L Rolnik, ..."
COVID-19,0,COVID-19: Vaccine Injury Compensation Status | Sands Anderson ...: JD Supra  MORE w/ EcoSearch:
COVID-19,9,Payam Dehghani presents our last #LateBreaking abstract from #SCAI2023: Core-laboratory Angiographic Characteristics and Mortality of Patients with #STEMI and COVID-19: Insights from the #NACMI Registry.
COVID-19,1640,"The book by  has arrived. This hefty and dense book is a chronicle of how the anti-vaccine movement wreaks havoc in the COVID-19 pandemic response. Superbly referenced and so well written. Great job, Dr. Howard!"
COVID-19,3,We haven't dealt with COVID-19 for most of our lives and now you've resigned to it infecting people 3x/year forever or what?
COVID-19,0,Imagine how many homeless people they could have provided housing for with the same money.
COVID-19,12,🧤 KEEPER! 🧤 Neliaj Deleon from our ECNL G06 has been invited again to the U.S. Soccer YNT ID Center in Dallas!The ID Center will be conducted while adhering to the strict U.S. Soccer Return to Play protocols regarding Covid-19. Congrats Neliaj! #theCEway
COVID-19,1,"𝗧𝗶𝘁𝗹𝗲: Structure and function of the SIT1 proline transporter in complex with the COVID-19 receptor ACE2.𝗔𝘂𝘁𝗵𝗼𝗿𝘀: Huanyu Z. Li, Ashley C.W. Pike, Gamma Chi, Jesper S. Hansen, Sarah G. Lee, Karin E.J. Rodstrom, Simon R. ..."
COVID-19,0,"This is quite suspicious after Bill Gates the suspected conspirator in the covid 19 VACCINE scam becomes the single largest private owner of American farmland. What are they up to? Definitely, it is not something good but of course under the big lie of climate change! WEF!"
COVID-19,0,Justice Gorsuch on COVID-19 and Emergency Government
COVID-19,0,This is a stunning assessment by Justice Gorsuch!  Brilliant!!Justice Gorsuch on COVID-19 and Emergency Government  via
COVID-19,1,You showed us who you are …a total bigot. #COVID19
COVID-19,1,The same political party that fought to continue American slavery fought to keep America locked down for covid-19.
COVID-19,0,Currently Excess DEATH  in #Canada… New Cause!      report by Dr John Campbell…. At 4:24 in video  #Vaccine  #covid19  #HoC
COVID-19,1,"""Did Donald Trump ever recommend COVID-19 lockdowns or shutdowns?"""
COVID-19,19,"If every U.S. state had performed as well as New Hampshire, the country would have had 505,624 fewer COVID-19 deaths between January 1, 2020, and July 31, 2022. What allowed New Hampshire to do so well in the pandemic? Get the background:"
COVID-19,0,Hunts and shoots should not be exempt from 6 person rule  Covid-19 restrictions - Signez la pétition !  via
COVID-19,0,Raise your hand if you went “full blown welfare” if you were recently unemployed (Covid era) and your unemployment benefits ran out.  #Unemployment #Welfare #GovernmentAssistance #COVID19 #FakeNews #Propaganda
COVID-19,2,"Hundreds of thousands of preventable American deaths from Covid-19 because of trump's lies, willful deceitfullness and incompetence regarding Covid-19. Why did trump trust Murderous Chinese Commie Dictator Xi over US Military Intelligence Agencies regarding Covid-19?"
COVID-19,0,"A U.S. with no emergency COVID-19 measures (lockdowns, 💉&amp; 😷 mandates) would have resulted in dramatically fewer fatalities and infections, the Justice appears to intimate here."
COVID-19,0,Why would we covid isn’t a killer the jab is the killer. Covid 19 was the catalyst to get the ignorant to take an experimental vaccine
COVID-19,0,CBN Covid-19 Loan Application Step-by-step Guide
COVID-19,0,"BUT Neil didn't fight closing the Supreme Court""While the Court building is closed to the public in light of COVID-19,"""
COVID-19,0,Perfect comment. 👍
COVID-19,0,Even with the letdowns Holgerson still only had one losing season in 8 years.  If not for Covid 19 Neal Brown wouldn't have one winning season since he arrived in 2019.
COVID-19,0,"Wait I thought the vaccine disabled the spike protein, and this article says nothing about the vaccine but getting COVID-19? So couldn't the vax in theory guard against this?"
COVID-19,1,Didn't over a million people and counting die from COVID-19? I would have been willing to do more if we could have kept even a few more of those people.
COVID-19,0,"Defund the CDC in Atlanta for inadequate response to COVID-19 ,and lack of disclosure of true origin , and lack of social transparency."
COVID-19,0,I’ll be rooting for the FBI to defund Mike 👻 instead.
COVID-19,4,you could ask  and her millions why she didn't take in her hubby's parents and keep them safe from #COVID19
COVID-19,0,Justice Gorsuch on COVID-19 and Emergency Government  via
COVID-19,0,COVID-19 was the sad reason that Tony Gershlick passed away. And a trial without mastermind is difficult to perform.
COVID-19,6,I swear it is the news about how many lives they have destroyed with the vaccines and proof the United States and China created the covid-19 virus and released it on purpose.
COVID-19,0,"No, you are not the only one. I was at my local pharmacy last week when I witnessed a young woman in her mid twenties booked in for a Covid 19 booster shot. The staff did not even question her. Happy to take her money. Covid is over, right?"
COVID-19,1,"#IKN optimis. #BukitAlgoritma optimis. #Covid19 optimis. Too much optimism kills you, politically!"
COVID-19,0,You have to love  . He makes more sense than anyone on either side of the debate👍 #COVID19 #vaccine #Pfizer #Military #government #Funding
COVID-19,0,Jetstar Australia cancelling a squillion flights across the Country today. Travel is still broken 3 and a half years after #COVID19 WHY? WHY? WHY? Qantas mandated vaccines were repugnant and plain wrong! Shame on CEO Joyce.#auspol #traveltips #TravelEasy
COVID-19,0,1 is A and 9 is I. COVID 19. Covert opt. Google ovid. means sheep surrender. C ovid. C sheep surrender to A I. Trump is blowing the trumpet the whistle 😙 blower de Santis the de saints or de satins forebidden Biden bidding bodies boldly Elon is a gate a portal a rocket ai scian
COVID-19,0,"I'm in Oregon too and got our district's ""End of Covid-19 Isolation Period"" notice today. School isn't over for just over a month from now. Should pair nicely with the June swell (or be a leading cause of it)🤬"
COVID-19,3,"SCOTUS Justice Neil Gorsuch called emergency measures taken during the COVID-19 “the greatest intrusions on civil liberties in the peacetime history of this country.”Surprisingly most world elites not just capitulated to those intrusions, bust also became a pawn for the government."
COVID-19,23,"January 16, 2023: Trump Dismisses COVID-19 Vax Safety Claims, Says He Saved 100 Million Lives"
COVID-19,3,"Coronavirus Update:☣️️ Total cases: 688,740,138 (+24,229) ☣️️⚠️ Current cases: 20,762,825 (-21,939) ⚠️⚰️ Deaths: 6,877,537 (+306) ⚰️🏥 Recovered: 661,099,776 (+45,862) 🏥Updated every 2 hours#Coronavirus #COVID19 #COVIDー19Source:"
COVID-19,0,Visit  (R)17 #auspol #covid19
COVID-19,2,"I'm thinking that Supreme Court Justice Neil Gorsuch is better suited for the Supreme Court of 1789, when COVID-19 would have possibly wiped out the majority, if not the entirety, of the 3,128,014 people living in the 13 States of the United States, including members of the court, than the Supreme Court of 2023."
COVID-19,7,I wonder if the Chinese vaccine for covid-19 destroyed people's lives and killed thousands like the one in the United States did?
COVID-19,2,"How many months did the Supreme Court conduct their legal duties via Zoom? No in person, face to face discussions took place. Why? The court was afraid of catching COVID-19! Gorsuch says this was an intrusion on American’s civil liberties? This man is a coward, a liar and a dolt."
COVID-19,0,disgusting pice of you know what every one I see that had to work doing cOVID-19. They were black and brown people. I didn’t see a white face anywhere. And I thank them for wiring when they ate the ones that were the most vulnerable to the disease of COVID-19
COVID-19,0,"""&gt;90% COVID-19 patients received antibiotics on hospital admission.""From your study that supports your claims about restricting antibiotics and that empirical antibiotic prescribing is not a thing. Your tweet didn't happen, okay?Nothing to see here."
COVID-19,0,‘There's no requirement to prove efficacy’: Constitutional lawyer discusses the politicization of Covid-19 vaccine approval at the National Citizen’s Inquiry  via
COVID-19,0,"Poor conspiracy theorist and liar - no one forced you to get a COVID19 vaccine.Injections helped mitigate the effects of COVID19.Your ilk just wanted to be ""plague rats"" and whine about ""freedum®""."
COVID-19,3,‘Case numbers’ are likely no longer reflective of the actual number of infections in the community - hospitalisations are a better indicator of the level of infection. (Assuming severity is reasonably consistent)
COVID-19,0,Did the people authorize a 45 crore mansion for Kejriwal while in the midst of Covid-19?
COVID-19,0,Our #CoVid19 times
COVID-19,300,Someone overlayed fires and election years. Interesting but if bad luck. *Note: #COVID19 lockdown seems to also lockdown all the ‘lightning’.#albertafires #albertafire #Alberta #AlbertaElection2023
COVID-19,0,Justice Gorsuch on COVID-19 and Emergency Government  via
COVID-19,0,Covid-19
COVID-19,2,"Justice Neil Gorsuch slams COVID-19 emergency orders that trashed civil liberties: ""Fear and the desire for safety are powerful forces.""  via   UNDENIABLE TRUTH 💯💥"
COVID-19,1,"“Only” 9 deaths in Ontario due to Covid-19 in the week ending May 13, down from 16 the previous week.The pandemic will only be over when the number of deaths is zero for months in a row."
COVID-19,0,"lmao, if Covid 19 killed 20 million Americans, I believe they'd still say this dumb shit."
COVID-19,0,"Andy Vermaut shares:COVID-Positive Donor Heart Tied to Lower Recipient Survival: Heart transplantation centers need to thoroughly evaluate and continue to weigh the risks and benefits of using hearts from active COVID-19 donors, researchers… Thank you."
COVID-19,0,"1,943 covid19 deaths in the US week ending May 14th 2023"
COVID-19,0,"So you are able to detect COVID-19 infections — as opposed to a common cold or flu — but those tests are worthless, ehh?"
COVID-19,0,"I like that, Covid19 is going to get him soon. Poor hygiene is very high on that mofo"
COVID-19,0,COVID-19: Unveiling Global Challenges and Opportunities
COVID-19,47,"A viral video suggests numbers and letters on street lights are connected to messenger RNA, or mRNA, proteins or the COVID-19 vaccine. That’s baseless and ridiculous. Here’s why."
COVID-19,1,Great!! Keep drilling baby! Climate crisis is a hoax! Biggest scam of the century after COVID 19 and the jabs!
COVID-19,0,"Science Saturday: COVID-19, moon discovery, SpaceX explosion and more - CGTN"
COVID-19,0,The latest COVID-19 news and case numbers from around the states and territories
COVID-19,0,"65, get the hell away from that kids office #creepy #cdc #admrachel #c0vid #cov1d #covid19 #COVID19Booster #vaccines #usanews #USANewsToday"
COVID-19,0,Fetty Wap asks for minimum prison sentence after pleading guilty to drug charge. His lawyer says he committed his crimes only to “financially support others” during the COVID-19 pandemic.
COVID-19,1,"“Maybe, like Facebook and BeReal and Google Home and that Houseparty thing from the opening act of COVID-19, generative AI will have its moment in the sun before we collectively say: yeah nah, we can live without that.”"
COVID-19,0,It helps to assume people aren’t making the worst argument. Steel-manning their concerns here is that the closest wild analogue to covid-19 was found in bat populations in Laos. Building denser settlements closer to those populations modestly increases the risk of a crossover.
COVID-19,0,'They knew': Rubio publishes COVID-19 report showing 'Beijing hid the truth'
COVID-19,0,Most COVID-19 Deaths May Be The Result of a Completely Different Infection
COVID-19,1,COVID-19 outbreak at Vernon facility
COVID-19,1,St Elizabeth Ann Seton Wichita Kansas is the password good love so you know Bishop we will love to talk to you about what he did during covid 19 he told everybody to go get coffee and donuts and I don't I can't wait to call you and tell you and send you a big letter and tell you
COVID-19,0,Blame it on Covid 19 😂
COVID-19,0,"It wouldn't Happen. Ballon D'or is a Joke when this Magazine award has biased Agendas. Lewandowski won Sextuple trophies with Hansi Flick in 2020 and They used COVID19 as an excuse to not not give Him one. He should’ve also won in 2021 as well, since He won FIFA Best Player 20/21"
COVID-19,1,All the hotties have this color 😉
COVID-19,0,"Since the start of the pandemic, 1,164,012 Americans have died from #COVID19 (16.9% of all deaths worldwide). That is about the same as 10,486 Alaska Airlines Flight 1866s which killed 111 people in 1971:"
COVID-19,0,Most COVID-19 Deaths May Be The Result of a Completely Different Infection
COVID-19,20,Labor is preparing to tighten the purse strings in the upcoming state budget as it deals with the rising costs of its building projects and pays the bills incurred during the COVID-19 pandemic.
COVID-19,27771,Supreme Court Justice Neil Gorsuch called emergency measures taken during the COVID-19 crisis that killed more than 1 million Americans perhaps “the greatest intrusions on civil liberties in the peacetime history of this country.”
COVID-19,2,"Stay safe. There’s less reporting &amp; the reported COVID-19 levels are  ~equivalent to the 3/20 levels when the pandemic was declared, according to the New York Times."
COVID-19,0,COVID-19 Update: FDA Authorizes Changes to Simplify Use of Bivalent mRNA Vaccine
COVID-19,0,COVID-19 Update: FDA Authorizes Changes to Simplify Use of Bivalent mRNA Vaccine
COVID-19,4,Andrews Government Offers $5 Million to Shut Down COVID-19 Lockdown Class Action#springst
COVID-19,0,#nanomagnetism You know that there is a single piece of evidence that neither scientists or politicians were able to explain about #COVID19 The Furin Cleavage Site. I am able to show you not only that FCS of CoV-2 is unnatural but explaining you the why. LinkedIn 🧠🤍🔥
COVID-19,1,"The vaccine summoned the devil into humans. Read the Bible. Before the vaccines there was no sin. Then eve suckered Adam into taking a covid 19 jab, next thing you know, fire and brimstone."
COVID-19,1,"If you are infected with a virus you can pass it on to others. Thats a fact. The covid 19 virus killed people, many people, fact. Juat because someone doesn't die or show symptoms, they could pass it on to others who could in turn die. Fact. Thus, threat. Yes."
COVID-19,1,All Democrats should be immediately placed into WW2 like internment camps as soon as Trump is re-elected in 2024. Then we remove all of them from government and incarcerate them at GITMO. AND anyone who GOT the Covid-19 shots and boosters. They are a threat to our democracy!!!
COVID-19,3,Take a step back... 🌱
COVID-19,1,fr emil kapaun Mass call me on Tuesday so you know I always love you homies you have the best homeless Bishop Kemme you know how we feel about covid-19 it's so mean are you going to be at the pastor's party at St Elizabeth Ann Seton Wichita Kansas
COVID-19,0,"Yes 👺👿😳INDEED, #IT’s a #NicoteneCURE⚡️🌟4️⃣🫵🏻💜🙏🏻🎯🤴🏻“ Nicotine Patches Help Block COVID-19?”  via"
COVID-19,0,Documentary Exposes Terrifying Facts About China in the Years Before Covid-19 -
COVID-19,0,Where were you when so many of us begged for your help in assisting them in their fight against the tyrannical covid 19 mandates and vaccine injuries? You're a fraud.  Collect your pension and stop this clown show.
COVID-19,138,I'm at my niece's graduation and the salutatorian just said COVID-19 hit in their freshman year. 😳
COVID-19,0,If You're Old Ring Your National M.PAnd Ask Them.Do They Plan To Cease The COVID-19 Vaccine If They Take Power ?Bet They Won't Answer.Just Seems Important To Me.😁😁😁😁😆😆 Sofs.
COVID-19,0,"#virus LINKS TO FLORIDA, DESANTIS AND THE VIRUS #RonDeSantis #coronavirus #vaccines #covid19 #pandemic #Florida_hospitals #backlash #mask_mandates #Republican_polling #political_pawns #5000_dollar_fine #vaccine_conspiracy"
COVID-19,0,"And who cares what Latrell Mitchell has to say about it anyway. Guy didn’t even have enough self discipline to stay home during the covid19 lockdowns, and the country is supposed to give a hoot what he thinks? No way and #VoteNo"
COVID-19,0,Zimbabwe museums struggling to attract visitors post-Covid-19 - 'The international visitor-ship is still emerging also from Covid-19' ... -
COVID-19,0,COVID-19 was a plannedemic by the deep state. Corrupt Biden is a globalist puppet.
COVID-19,3,What we learned about the future of #Education from COVID-19. (Fast Company)
COVID-19,1,2/2Then didn't mention ventilators at all the following April when contributing to 'Nine Lessons Learned From the COVID-19 Pandemic for Improving Hospital Care and Health Care Delivery'.
COVID-19,1,"I’m so old, I remember when people actually believed the lie of the covid shot preventing person-to-person transmission. Some buffoons still think it does 😂 #COVID19"
COVID-19,1,A global effort to identify critical illness in some COVID-19 patients highlights genetic risk…
COVID-19,41,So with COVID-19 destroying immune systems and not providing lasting immunity this dreadful situation will only increase over time? I wonder if people will *ever* begin to understand that they need to do everything they can to prevent infection.  Why isn’t CDC running PSAs?
COVID-19,0,“And S&amp;P 500 goes back to levels seen before COVID-19.”
COVID-19,1,Justice Gorsuch on COVID-19 and Emergency Government.
COVID-19,0,Lisa Parent Covid-19 Home Page  Posted on FRIDAY 2023-05-19 at 7:00 p.m. COVID-19 numbers from the Ontario Public Health for the week ended 2023-05-13
COVID-19,0,"Where's  , is he ded?  They support#Zelinsky#Israel  #JPMorgan #EvilPfizer #FakeJustice #fakeElections#EpsteinCoverup #DurhamReport #fairytales #COVID19 #CrimesAgainstHumanity #MoneyLaundering #InsiderTrading #FalseNationalNarrative"
COVID-19,0,Covid 19
COVID-19,5,"Tomorrow is my birthday. My parents are gone, my family blown apart by #Covid19😷 &amp; the idea of going anywhere to celebrate is a non sequitur."
COVID-19,21,Another 🗑 take from both you and Phil. Now why are you kicking it with guys that have neo-nazi's on staff at a Qanon COVID19 event?
COVID-19,35,"“From the beginning of the COVID-19 pandemic, we noticed an unusual number of graft arterial anomalies following kidney transplant (KTx) in children.”"
COVID-19,6,As always thank you. Spending time in FL visiting friends we haven't seen since 2020 after Covid-19. Feeling a bad vibe from the people. Have a great weekend. Be safe.
COVID-19,0,Husband of COVID-19 vaccine injury payout recipient speaks out  via
COVID-19,2,Long-term Covid-19 will be part of our society and health-care for generations.
COVID-19,0,"virology courses since 2019 &amp; figured out the dynamics for covid 19.All I had done was to inform the Chinese to take good care of the Bat Lady who was asked adviso in that lab, as she was the only one privy to exactly what occurred."
COVID-19,0,"I'll attest, based on FDA/Pfizer publicly available docs that FDA knew on Dec 10, 2020 when it awarded EUA, that Pfizer didn't test for nor have any data on prevention of infection or transmission of the SARS-CoV-2 virus. It was only a severity of covid19 disease medicine.Look👇"
COVID-19,0,COVID-19 is not an issue today because Copeland blew away.🌬
COVID-19,0,"Have you heard about potential use of vitamin D3 in Covid-19 infection? Not a problem anymore, but the article contains really nice diagram that illustrates metabolic pathways of vitamin D3 &amp; K2. And adequate level of vitamin D is vital to proper function of immune system."
COVID-19,2,Wonder where Covid19 really came from?
COVID-19,0,Gorsuch calls COVID emergency orders intrusion on civil liberties - Chicago Tribune
COVID-19,0,COVID-19 Resources and Information | Governor Jay Inslee - Governor Jay Inslee
COVID-19,0,"Tampa Bay honor roll student struggles to graduate, citing impact of COVID-19 pandemic - WFLA"
COVID-19,0,ethics commissioner Marguerite Trussler publicly announced Smith broke ethics rules during a Jan. 6 conversation she had with her justice minister regarding a COVID-19 case against a controversial Calgary pastor.
COVID-19,0,Robert F. Kennedy Jr. Says COVID Protests Led Him to Bitcoin - Decrypt
COVID-19,0,Sen. Rubio Releases ‘Groundbreaking’ Report on COVID-19 Origins Showing China Filed Vaccine Patent ‘No Later than November 2019’ (Video)
COVID-19,0,Dartmouth: Fear of childbirth exacerbated by the COVID-19 pandemic - Vermont Biz
COVID-19,0,"COVID emergency orders are among `greatest intrusions on civil liberties,' Justice Gorsuch says - The Washington Post"
COVID-19,0,House COVID panel demands Cuomo testify on nursing-home scandal - New York Post
COVID-19,0,Wenstrup Demands Accountability for COVID-19 Nursing Home ... - House Committee on Oversight and Reform |
COVID-19,0,Five SEC Scoring Georgia Men Returning to Use COVID-19 Fifth Year - SwimSwam
COVID-19,0,Supreme Court Justice Gorsuch: COVID emergency orders are among `greatest intrusions on civil liberties' - FOX 5 DC
COVID-19,0,"$2,500 grants! Were you self-employed, small- or micro-biz owner, or nonprofit with revenue less than $50K in 2019 and lost income in 2020 due to #COVID19 pandemic? No need to repay. We'll help! Apply by June 7. PLZ RT"
COVID-19,10,Same for heart transplants from donors with active COVID19 infections.A cascade of negative health outcomes from unmitigated COVID19 transmission is about to unfold.
COVID-19,0,NIH Cuts Funding for Wuhan Lab Amid COVID-19 Origin Controversy
COVID-19,73,It was as secure as a cloth mask against Covid19
COVID-19,1,"formula closer to man"". The end result was due to a Far Sight Remote Viewing Company verification, is that a large electrical power relay box failure, there was a gross contamination viral escape from the labs. The dynamics for ultra mixing of covid 19 however took place"
COVID-19,0,#NicoteneCURE for #COVID19❣️🙏🏻🌟4️⃣🫵🏻💜“Falling ladders - why does this happen?”  via
COVID-19,0,I heard Disney was straight up ate up. Speaking of Cali.. Nancy Pelosi is wholly responsiblefor the early sinister spread of Covid19. (In the US) Did y'all know that?
COVID-19,0,"Wenstrup Demands Accountability for COVID-19 Nursing Home Deaths, Requests Transcribed Interview with Former Governor Andrew CuomoRead"
COVID-19,0,"Why were vulnerable, elderly Americans abandoned by state officials in NY, NJ, &amp; PA during the COVID-19 pandemic?Andrew Cuomo — It's time to answer for your deadly, nursing home policies."
COVID-19,1,YOOOOOOOO i LOVE it!We have the same hair color rn 😭🌸🖤
COVID-19,0,"There are some vocal Catholic contrarians against vaccines, but Catholics' Covid-19 vaccination rates outpace all groups but atheists and agnostics."
COVID-19,7,Made a film about it and used people dying before COVID-19 even existed as well as people who didn’t even die at all.
COVID-19,1,"Do you mean those tax giveaways that got the unemployment rate down to 3.5%?The deficit blew up during Covid-19 spending, which the Democrat majority in Congress not only approved, but wanted more. #Democrats #Gaslighting"
COVID-19,0,"""Arnett’s decision last year to refuse to get vaccinated for COVID-19 is not the reason for her upcoming special court-martial."""
COVID-19,6,Republicans are 3 times more likely than Democrats to believe falsehoods about COVID-19  via
COVID-19,0,IMPORTANT INFO You must be filled in on this information concerning covid 19.The US Senate narrowed it down as covid appearing as attributed to an industrial  chance in 2019 at my online business utility the senior staff of that company in Wuhan that
COVID-19,1,"The reason why her work is false is simple. COVID19 as a virus explains everything nicely, whereas her ""explanations"" leave gaping holes. As an engineer you should know that if a solution works nicely, it is most likely the correct one."
COVID-19,0,"Hi Elon! Rockets, cars, COVID-19, masks ""5 Feet Apart""Cystic Fibrosis doesn't end as in a Pandemic.I'm 53, have CF, homeless"
COVID-19,0,#CDCHere are the different typesof #Vaccines for Covid-19 that are available...🤔Please comment and tell us if you are:A) fully vaccinatedB) hessitant on getting itC) refusing to get vaccinatedLIKE▪️SHARE▪️COMMENT
COVID-19,0,"Oh, well that settles #IT❣️ #WEED too⁉️🧏🏻‍♂️…Again, ¥w  spread the 🗞️📰🚨 #GoodNEWS, you know I AM The #Gospel TRUTH🌟4️⃣🫵🏻💜👑🤴🏻🫅🏻👸🏼NO MORE #COVID19❣️🧏🏻‍♂️…Any QUESTIONS⁉️🇺🇸📜⚖️🗽👼🏻 weed actually help fight COVID!? #shorts  via"
COVID-19,640,"Assasinated former #PM of Japan #ShinzoAbe said: ""No #covid19 #bioweapon #vaccine for #Japan.""Remember him today  #G7Summit in #Hiroshima.#USA #biden #UK #sunak #France #Germany #Italy  japan #canada #trudeau #globalist #bioterrorist👇"
COVID-19,1,Thank you for a fabulous and really informative talk on COVID-19 and pregnancy at the course the other day!
COVID-19,0,"(15/20) Last week, ATL's COVID-19 state of emergency declaration came to an end, a change that lifts public meeting mask mandate requirements as well as the temporary halt on residential evictions at City-affiliated properties."
COVID-19,4651,New study shows masks and air cleaners were associated with stopping COVID-19 in two Swiss schoolsWell color me shocked ….
COVID-19,1,Fired Alberta Physician Tells National Citizen’s Inquiry Ivermectin Saved Patients From COVID-19
COVID-19,0,Add Joe biden brought in millions of illegal immigrants during a pandemic unvaccinated but forced all Americans to take the COVID-19 vaccine to keep our jobs/businesses..this is against our Constitutional Rights.
COVID-19,0,More than 40% of Americans Experience Illnesses Similar to Poisoning after Receiving COVID-19 Injections
COVID-19,3,And those are related to Covid *19* how?
COVID-19,1,"And even if socialist candidates won a large percentage of the seats, they would be subjected to the full force of the capitalist state institutions (police, army). These can't be repurposed by socialists; they must be replaced by a workers state. See ."
COVID-19,1,Justice Gorsuch on COVID-19 and Emergency Government.  Worth the read if you have time. The only issue I have is why did it take until 2023 for you to make a statement ?
