keywords,likes,tweets
Vaccine,1,"6 yr old, 2019, kidney failure after 4 jabs. MMR needle rape was in there, all the injectable gas chambers of Auschwitz called vaccines are deadly, dangerous,  and evil."
Vaccine,0,"Shot In The Dark: Blowing The Whistle On The Vacc!ne Industry  COV!D w/ Robert F. Kennedy Jr. #299 — LUKE STOREY #RobertFKennedyJr #Covid  #vaccine #bigpharma #truth Thank you, ⁦⁩ God bless you, sir!"
Vaccine,0,"I knew a mom whose son had autism. It was linked to the childhood vaccines and she said she didn’t care, she would and still does vaccinate. My kids weren’t vaccinated and the daycare accused me of being irresponsible 🤣"
Vaccine,1,What about the BOFA vaccine?
Vaccine,0,There’s a vaccine card holder in there 😭
Vaccine,6,Seen it once. Pt refused to sign the blood consent unless the hospital could prove that the donor hadn’t had the Covid vaccine. 😳OR RN: let me call your surgeon
Vaccine,0,"vaccine nah it was a singular individual furry in a team of their fellow scientists or microbiologists or whatever developed it yeah even your fandoms overly accepting community is what made the worst fandom to exist half pure degeneracy and the half not so degenerate ""people"""
Vaccine,0,"Also. Thanx son. Absolute misery. Picked up some scars. His mom did not catch it, thoughOatmeal baths. Moaning (won't say sobbing...) in the tub. Still slightly shaky 2 weeks after ""recovery""Kids, don't play this gameGet all your vaccines updated"
Vaccine,0,Funny how he uses Covid to explain away the outrageous debt but Albo &amp; co don’t even acknowledge it when talking about the economic management of the former federal government  who funded job keeper/ job seeker / free vaccine etc - what’s good for the goose……..
Vaccine,1,"Now you're putting a lot of different things on one pile. Sure there is disagreement about lockdowns, and maybe even about masks, but hardly about vaccines. Either way, this was about Peter McCullough's promoting hydroxychloroquine as a COVID-19 treatment."
Vaccine,0,What about the BOFA vaccine?
Vaccine,1,Its been 2 years what are the consequences/ side effects of taken the vaccine? Has anyone died just from the shot alone? Plus you need all your measles shots and others before you can get into the 8th grade. Wheres the outrage on that? Fake outrage much?
Vaccine,0,"88% of Americans still support MMR vaccine for kids, but many parents question benefits | CIDRAP"
Vaccine,4,"It’s not an opinion, I just understand how vaccines are made &amp; how they work."
Vaccine,0,New Harvard-Harriss poll out today showed only 6% of the population considers Covid their top priority. You can put team Desantis arguing over shutdowns and vaccines in the column of nobody cares.
Vaccine,0,"Anti-science?  I don’t recall, did she the vaccines were “safe and effective”?Or “take this jab and you won’t get the virus or transmit it”Or did I miss it?"
Vaccine,1,"Covid was a scam No one died FROM covid. They died WITH covid. Foh. Masks didn't do shit, vaccine didn't do shit."
Vaccine,4,"You should reallly find out who is posting this garbage. The hole keeps getting deeper for the Trudeau crime family, vaccines in arms have caused death to Canadians."
Vaccine,2,"A work mate got the Flu jab before the Covid jabs were forced on the community,he was so scared of covid, yes triple J disciple, he got a strange cancer within weeks then got all the vaccines 🤦‍♀️ He no longer speaks to me &amp; he no longer works because of on going health issues.."
Vaccine,0,What about with the BOFA vaccine?
Vaccine,0,Is that like you tweeting how awesome Trump was when we had 3 vaccines???Then cried when Biden took over and THEN bitched at him about the vaccines??? That you??
Vaccine,4,"You need to know, and speak to, multiple ER docs who said Covid was so, so bad in the beginning with very, very sick people including people who spent months on ECMO. Had there not been a shut down until vaccines were out, hospitals overwhelmed would have no surgeries or care."
Vaccine,0,Larry Cook the salesman?The guy who makes outrageous (&amp; unsupported) claims of vaccine harm so he can convince the gullible into buying his wares?The guy who admits he “makes false statements” to get attention?Please… open your eyes &amp; use what brainpower you have 🤦🏻‍♀️
Vaccine,0,"Well,  the first cases of lasting or Long Covid were reported in the news here in Canada long before the Vaccine was available.  I'm betting that all the death, and lasting disability could not have been caused by a vaccination that didn't exist yet and had yet to be distributed."
Vaccine,0,"Question for you...Is knowingly accepting a vaccine, made from aborted fetus tissue, partaking in child sacrifice?"
Vaccine,10,Is that the much lauded insanely expensive vaccine that doesn’t stop infection or transmission?
Vaccine,0,.. our 33 year old daughter got the vaccine and ended up getting a blood clot. Our other daughter got the vaccine and she just became Souless and a completely different person.
Vaccine,6,"When authorities first became aware of the pandemic and people were dying, certain people loudly criticized the PM and the government for not getting vaccines fast enough. Then, 2 years later, the same people blame the PM for the vaccines and mandates."
Vaccine,0,"Fauci giving the commencement speech at Yale Monday May 22, 2023  9 am. All vaccine injured are invited to protest. Yale, New Haven, Connecticut"
Vaccine,1,"It's pretty slanted against vaccine passports, just so you know. I mean, the ""poor bargain"" sort of gives a hint of that, but.....the author is pretty serious about it."
Vaccine,20,Bro get that fucking tin foil hat off your head. Honestly. Without that vaccine many more millions would have died.
Vaccine,2,"Kayse Reacts - Pop - Need your support DREAMERS! Like, Subscribe &amp; Post Comments please 😊 #reactions  #4thImpact  #4thImpactLive  #4thImpactMusic  Miley Cyrus - Flowers (Cover by 4th Impact) Reaction  via"
Vaccine,0,Thanks!
Vaccine,0,"So sad, the vaccinated had a double whammy Covid and the vaccine injuries short and long term. We need to start asking are they vaccinated which ones how many? Also the most interesting the  naturally immune Covid survivors and the people that didn’t get Covid at all why?"
Vaccine,0,What about the BOFA vaccine?
Vaccine,0,COVID Vaccine Pulled From US — No Comment from CDC  via
Vaccine,2,Against? * Researchers Warn Some Covid-19 Vaccines Could Increase Risk Of [ contracting] HIV Infection….Highly unfortunate and terribly horrifying 💉
Vaccine,0,"When will people be held Accountable for hurting and killing so many through ""vaccines""?!  💔😢😭"
Vaccine,0,Same with the vaccine maybe
Vaccine,3,"A summary of the most interesting stories in the past 24 hours that challenge the prevailing orthodoxy about the virus and the vaccines, the ‘climate emergency’ and the supposed moral defects of Western civilisation."
Vaccine,0,We will mask up &amp; distance &amp; eventually get the vaccine but for pride and braggadocio so many won't &amp; they will win their inevitable reward. It can't be helped. It is FAR too late to stop the entrenchment of denial it's just a matter of time now....
Vaccine,11,This always amazed me. I would no sooner take a vaccine that rushed through then get on a plan that rushed through.
Vaccine,1,This is unbelievable! i just saw him alive and kicking on Wednesday during my dad's operation. He got into a black Kia Carnival and now he is gone. He seemed so fit. Is this the vaccine again? #DrBhujangShetty #BhujangShetty #Bengaluru #NarayanaNethralaya #covid #covidvaccine
Vaccine,19,"A summary of the most interesting stories in the past 24 hours that challenge the prevailing orthodoxy about the virus and the vaccines, the ‘climate emergency’ and the supposed moral defects of Western civilisation."
Vaccine,0,RFK Jr zings Krystal Ball for ‘parroting’ a narrative in dust-up over vaccines  via
Vaccine,2,Those are used in developing and studying vaccines numb-nut. They’re not in actual production batches.
Vaccine,1,I kept getting polio even after my fifth vaccine!!
Vaccine,2,FDA advisory panel backs Pfizer’s #RSV vaccine.  has the story:
Vaccine,0,Vaccine plx
Vaccine,0,"Aborted feotel cells have been used for a long time over 30 years due to It was withdrawn from the polio vaccine due to controversy but they used in others, MMR is just one of them."
Vaccine,2,My husband got his second shingles vaccine and I got my last booster for covid today and we are both wiped out.  We gave u talking to each other because our reaction time is so long we forget what we are going to say.
Vaccine,0,COVID Vaccine Pulled From US — No Comment from CDC  via  THE JOHNSON &amp; JOHNSON VACCINE DOES NOT WORK AND NEVER DID. SOMEONE SHOULD GO TO JAIL.
Vaccine,0,FDA Advisers Back Maternal RSV Vaccine as Pfizer Says Safety Concerns Can Be Studied Post-Approvalvia ⁦⁩ ⁦⁩
Vaccine,2,The virus did not come out of a lab and the vaccine will stop transmission.
Vaccine,5,"We need someone that can beat the Father of the Vaccines, and also take down the New World Order. That person is Robert Kennedy Jr... #Kennedy24"
Vaccine,0,"But why are more businesses closed down in LA? Why are more people homeless? He's printing money, spending trillions on a war, on vaccines, on censorship, instead of diplomacy and the American people. He shut down businesses for over a year! That is not good economic policy."
Vaccine,0,Are you actually hoping it’s vaccine related? That’s cool man. Good look.
Vaccine,1,Why would I “forget autism” when it was literally the only thing I was arguing about?  Maybe just concede that he’s lying about vaccines causing autism.
Vaccine,4,"government and government-funded think tanks, academia, media and “scientists” living off government grants have told us:Covid was an Extinction Level Event, rather than a bad cold for those not already very old, sick, and obese that it turned out to be.The Covid vaccine will prevent transmission and infection, two things for which it never was tested.The banking system is sound, as billion-dollar banks collapse around us.The border is secure, as tens of thousands wander across it monthly.Ukraine’s war against Russia is critical to America's national security.Now they tell us we must transition to “renewable” energy. David Cavena"
Vaccine,146,"💥MEDICAL MAFIA ENDLESS FAKE ALERTS... ENDLESS JABS💉💉💉💥CDC Issues Monkeypox Alert, Recommends Two Doses of Vaccine Despite Questions About Efficacy."
Vaccine,1,The DeSantis Vs Trump Twitter space has become a “who hated the vaccine more?” Contest
Vaccine,0,COVID-19: Vaccine Injury Compensation Status | Sands Anderson ...: JD Supra  MORE w/ EcoSearch:
Vaccine,114,"We have a vaccine now, Robin."
Vaccine,1,"100% Kai! And sadly people like myself took the hook, line and sinker. The majority did too.....now im living with 4 doses of a experimental vaccine that I am quite certain even the ceo of pfizer has not taken. Ugh"
Vaccine,0,What vaccine are we talking about men under 30?
Vaccine,41,"This was a special kind of vaccine oh, doesn't prevent infection. Didn't you know? It's the new and improved - the latest vaccine fad. 🤡🤣"
Vaccine,0,I want to be paid 3 million for this bullshit vaccine that we all were forced to take
Vaccine,0,Yes I am for you; I had a dream God gave me a name of bruno which means brown so I know it i going to be a black man!!!!  For the next president; We need fresh blood and someone who is against the evil vaccines!!!
Vaccine,0,so what you are saying is that the vaccine hasn't come close to what was promoted by msm and politicians?
Vaccine,1,Well apparently the Qur'an hasn't done much for prosperity as a whole given that most of the wealthy countries which have lead development in the last few centuries aren't Islamic. I think we'll all take vaccines over the minor benefits that giving up almost all freedom entails.
Vaccine,1640,"The book by  has arrived. This hefty and dense book is a chronicle of how the anti-vaccine movement wreaks havoc in the COVID-19 pandemic response. Superbly referenced and so well written. Great job, Dr. Howard!"
Vaccine,0,"OMG, even the CDC is admitting the risks. Stop the bs and stop pushing that lie. Big pharma and the government murdered millions of people. They also admitted to creating viruses so they can create vaccines."
Vaccine,0,4 shots and Covid once. It sucked but grateful for the vaccines.
Vaccine,0,yes thats true but lets say hypothetically your fandom consists of porn addicts pedophiles zoophiles etc but have one singular redeeming person who was being praised way too much for helping develop a vaccine and the vaccine was ofc developed by a team of professionals
Vaccine,0,Correct. I’m glad someone said it. We knew alot of things that were ignored. It was all political. Masks don’t protect you. Vaccines don’t save you. It’s about control and everyone knows it.
Vaccine,2,They are putting it in influenza vaccines. Don't trust the shots.
Vaccine,0,"It’s not even the Covid so much as the vaccine shedding or those poor souls that had parents stupid enough to give them the vaccine..coming from Dr. Yogi here. However, there were batches in the beginning that were just placebos so hopefully you got one of those."
Vaccine,1,"100 yrs ago between 25 &amp; 50m died from Spanish flu - they didn't have vaccines. The world popn was about 2bn. Today we have vaccines, the world popn is ~8bn. Did between 100 &amp; 200m die from Covid? No about 7m did. Personally I put that down to the use of vaccines."
Vaccine,0,"This is quite suspicious after Bill Gates the suspected conspirator in the covid 19 VACCINE scam becomes the single largest private owner of American farmland. What are they up to? Definitely, it is not something good but of course under the big lie of climate change! WEF!"
Vaccine,0,Some fools actually mocked others for trusting their immune system instead of taking a vaccine with no data insert.
Vaccine,2,"We are being Murdered, Andrew. 5 Billion of us are Dying and they are targetting our Entire food supply also. Gates (of Hell) has bought into the Vetenary vaccine program here and plants are to be GMO'd. They are not even going to mark the produce of it's contents. PURE EVIL."
Vaccine,0,"They're never not gonna be salty about the vaccine requirements. I stopped at 3. Do that bare minimum &amp; go about your damn life. They're so gd exhausting.I mean, THEY WON the c19 info war. Sorest winners there ever was."
Vaccine,11,".Dr. Sucharit Bhakdi's Warning to the WorldMicrobiologist Sucharit Bhakdi, M.D. joins Meryl Nass, M.D. alongside colleague Michael Palmer, M.D. to sound the alarm on genetic manipulation and the alteration of man through gene-based COVID vaccines."
Vaccine,1,"Unless it’s changed recently, when vaccines were under a mandate, illegals were exempt from compliance. 🤔"
Vaccine,0,Wasn’t this a movie?
Vaccine,0,"And this is why so many health care professionals refused the vaccine. 2000+ of us in Victoria alone were fired for refusing. Countless others resigned or went on whatever leave they could to not end up like our patients, like Barry. Thanks for speaking up Barry."
Vaccine,0,"I wish I had known more about vaccines when my first child was born nearly 6 years ago. Against my husband’s wishes, I stopped getting my kids vaccines last year. Unfortunately, they already had most of them. My son, at 3.5, is just starting to say some words."
Vaccine,1,"Vaccines are the #1 thing most Trump supporters disagree with him on because 80% didn’t inject the poison despite his pleading and boasting, IMHO"
Vaccine,0,"Once again, I never claimed that vaccines cause autism. I did claim that adding thimerisol to vaccines has no medical justification and giving mercury to infants has never been proven safe. Perhaps you have evidence to justify adding elemental mercury to vaccines. To date, I haven’t heard any."
Vaccine,0,And there's no chance its both the virus spike protein and the vaccines spike protein is there.....🙄
Vaccine,0,",pls report on rebuttals to #SCOTUS Justice Gorsuch’s flagrant lie. Experts &amp; observers, including , &amp; , write on USA trampling civil liberties over centuries which led to tens of millions of #FirstNations &amp;Africans dying. Masks+vaccines=life."
Vaccine,1,"No one who enforced vaccine mandates was ""smart."" They were manipulated by Government, and Government was either manipulated by, or complicit with, Pharmaceutical Companies. I worked in Pharmacokinetics for a little over a decade; the well-informed should NOT vaccinate, even now."
Vaccine,0,Currently Excess DEATH  in #Canada… New Cause!      report by Dr John Campbell…. At 4:24 in video  #Vaccine  #covid19  #HoC
Vaccine,0,"""In order to attend college, it was highly recommended by Haleigh’s pediatrician that she receive the Meningococcal vaccine that we were told would protect her while living on campus."""
Vaccine,0,"The trouble is a big enough portion of this country that are perpetual victims truly do feel like temporary COVID precautions, to try to save lives until a vaccine was readily available, were actual intrusions on civil liberties. Absurd babies."
Vaccine,77,💥MEDICAL MAFIA OUT OF CONTROL💉💉💉💥‘Sad Day for Babies and Mums’: FDA Panel Recommends Pfizer’s RSV Vaccine for Pregnant Women.
Vaccine,1,"Operation Warp speed was the NSA &amp; Pentagon. NIH has patents to the vaccines; the US military contractors made the vaccines, used Pfizer branding. Yes, it is a US military project! Pandemic simulations started in 2001 after 9-11. (Corona virus) CIA sponsored them all. -RFK Jr"
Vaccine,0,Vaccine for a baby? What are you NUTS?!?
Vaccine,0,FDA refused to authorise mRNA vaccines in humans prior to Covid emergency authorisation despite pharma attempts to market them.
Vaccine,3,They need more vaccines.
Vaccine,1,"And the ppl who did not die? What do they have to say bc of such measures,  b4 we got a vaccine?"
Vaccine,34,"Wrong. I was vaccinated against whooping cough and got it,  it was much milder than it would have been without the vaccine. I don't think you understand vaccination."
Vaccine,1,"So that's the wonderful scientific development. Even the late-Soviet Union was better than that. A tank that doesn't work, a vaccine that doesn't work and something actually innovated by Luxembourg.I think it's clear Russia is not a scientific power. Or the equal of Luxembourg."
Vaccine,0,"At this point I don't care if people call me anti-vaxxer. If someone wants to listen why vaccines are problematic, I will be happy to discuss. But most don't want to know and are happy thinking they belong to pro-science crowd against these horrible anti-science bigots"
Vaccine,0,Trump promoted the vaccine as safe &amp; effective before and after his presidency. I don’t believe he has changed his position on this.
Vaccine,0,"I like to DeSantis, because he stood up against the woke ideology and the vaccine mandates but ultimately Trump made DeSantis so this might be a playbook that they’re working together on, and become the president and vice president of the United States!"
Vaccine,0,Hi pizza delivery driver here I left my last job because they wanted me to have the vaccine and I disagreed with them so I quit working for Pizza Hut now delivery driver making more money last hours
Vaccine,25,Effective at what?They aren't vaccines.
Vaccine,4,"They changed the definition of the word vaccine, because the mRNA gene therapy was not a vaccine."
Vaccine,2,"Hearing others talking about searching their username to see how far up they come up while we're here like""cVoid"" -covid -""cvoid-19"" -vaccine -boosterand its still largely typos, if enough is removed you get our steam+cohost. also a surprising number of other cvoids out there"
Vaccine,2,Here’s a massive COINCIDENCE Guy who invests in vaccine alternatives tries desperately to seed doubt about vaccines.
Vaccine,116,"Just so everyone is aware, everyone that was right about the vaccine is voting for Danielle Smith. Everyone that was wildly wrong about the vaccine is voting Rachel Notley. If you wanna feel what it’s like to be right, come on over."
Vaccine,0,Because India is known for the better sanitation that was implemented when the polio vaccine was distributed
Vaccine,7,Effective at not being a vaccine at all?
Vaccine,0,"RFKJr thinks vaccines are poison, Russia should be left in peace to stomp all over Ukraine, and any power source he can actually see should be banned. Set up a bottled water company to help litter the planet. Can't think of any reason to expand his base."
Vaccine,1,"In fact, the paper reminds us immunity wanes after both vaccines and infections."
Vaccine,0,Why would we covid isn’t a killer the jab is the killer. Covid 19 was the catalyst to get the ignorant to take an experimental vaccine
Vaccine,0,The truth about viruses 🦠 and vaccines 💉 you need to know! #FreeMilesGuo #TakeDownTheCCP
Vaccine,8,Dr Sahin the CEO of BioNTech said that he himself is legally NOT allowed to take the vaccine. Why is that?
Vaccine,15,That's not true. We did. We reduced the available hosts through vaccinations until it became less of a global threat. That's the exact point of vaccines.Whatever heritage foundation fantasy world he lives in isn't our real one. We eventually took appropriate action.
Vaccine,38,Getting the vaccine is a MISTAKE. A school boy error. A succumbing to pressure. Next time Daddy Gov tells you to do something like take a vax for a harmless flu…Find your balls. Use your brain. And don’t make the same mistake. Do you hear me?
Vaccine,3,#StateMedia will stay shtum and do whatever the state directs it to - even excess death and vaccine injury remain virtually silent matters in the MSM. These are dark days where the revelation is that both the State and the Mob want you dead rather than alive.
Vaccine,0,"Because theve had vaccines, they are old, dementia, etc,   alot of health ailments, they are going to die of something like what happens always.."
Vaccine,0,So we learned nothing from the results of “let it run its course” mentality of the 1918-1920 flu epidemic. Now we have so many strains that they can’t create a vaccine that can completely eradicate it.
Vaccine,0,"Circumcision seems acceptable because children don't always have good health habits. Should they? Heck yes. That's what I believe. But does it work that way? Heck no. I feel vaccines should be a choice just like medical treatments but then again, I see both sides"
Vaccine,0,Goodnight folk 😎👇
Vaccine,2,Small pox is spread in virtually an identical manner via airborne particles. Do you know anything about anything? And was around for hundreds of years before being eliminated by a vaccine.
Vaccine,6,"The problem is, it also completely disregards all progress treatments and vaccines have made to reduce Covid deaths (as if the only thing stopping people from dying is stopping transmission) and it puts the responsibility on individuals and not governments for better access to"
Vaccine,0,RFK Jr. is deep down the Bitcoin rabbit hole—and it was the vaccine-mandate protests in Canada that got him started down the path....Read more:
Vaccine,0,"We just went full circle into the depths of your insanity. AGAIN, long term effects of vaccines are no more than a year later. If you are going to keep tweeting your opinion (which is wrong) please just stop responding"
Vaccine,0,She calls Riddle Mr CannabisShe calks Shotzi the one with the green hair and the tankShe calls Karrion Kross the one who refused to take the vaccine(I will not reveal the ones of Trips and Stephanie because they are very nasty)
Vaccine,0,Maybe this is why the vaccine was created.  Boost them up
Vaccine,0,"Wait I thought the vaccine disabled the spike protein, and this article says nothing about the vaccine but getting COVID-19? So couldn't the vax in theory guard against this?"
Vaccine,2,"And here's the FULL study on the Pfizer trials which shows how it went. 42,000 ppl enrolled. Of the 37,706 in the study arms just 46 withdrew due to ""adverse event"" (28 vaccine group, 18 placebo group).Reconcile this with your fabricated claim above."
Vaccine,0,"Oh! Well this is a beautiful moment! We probably don't agree on anything else! I think the earth's round, birds are real, vaccines are the most effective public health tools since flushing toilets  and Janet Jackson's wardrobe malfunction was totally planned."
Vaccine,0,"I checked the Wikipedia article on Russian innovation. It had three whole entries for the last ten years! And one was actually developed by a company from Luxembourg not Russia. The other two: the Russian COVID vaccine and, apparent, the Armata T-14 tank!"
Vaccine,0,Warp speed did some for monoclonal antibodies but placed a huge priority on vaccines.And no you don't have to be in the lab to be responsible for implementing the testing regime that brought us the vaccines.
Vaccine,4,"How was it destroyed? What beliefs and values were lost? Authoritarian? How is it all Trudeau's fault. If you mean vaccines, ALL parties with seats provincially &amp; federally backed mandates. Provincial govts of 3 PARTIES had them. Courts ruled ALL legal. Have had mandates before."
Vaccine,0,Btw who does it serve to constantly assume the vaccine harmed more citizens than the virus?
Vaccine,0,Do you understand how a vaccine works? Honestly. Before you continue to inevitably spout mindless drivel.
Vaccine,0,Why then vaccines were approved under emergency authorization? What was the outcome in initial trials? What was the power to detect adverse effects?
Vaccine,0,"Lol.  Okay, father?  The virus became less lethal after the shot rolled out.  Omicron.  Not to mention natural immunity was in most of the population after rollout.  How in the world would the numbers still be up after all those factors AND a vaccine?  The vaccine didn't help."
Vaccine,0,We’ll why the FUCK is she taking the vaccine?
Vaccine,0,"If you lost your job/home whatever because you didn’t want to take a vaccine that hundreds of million people had taken, maybe you deserve it."
Vaccine,0,The vaccine did not and was not tested to stop transmission
Vaccine,1,Government and its failure (multiple times)Vaccine comments CircumcisionI think it’s cause my liberal aunt from Texas was in town and Vince was stepping on her toes 🤭😂 Energies were clashing 😵‍💫Step mom kept shushing everybody
Vaccine,2,"Their sources are the same people who told us Hunter laptop was Russian election fraud, and dozens of lies about efficacy of the covid vaccines"
Vaccine,0,": Trump was lied to about it being an actual vaccine.Me: Trump had ample warning about these injections and previous vaccines from Dr. Zelenko and RFK Jr. and he chose not to accept that.: I'm sorry about your friend, but he had a choice. He could've researched but didn't. Blaming Trump makes no sense in a world with free choice. On the other hand, once that choice is removed, blame lies squarely on the shoulders of those who made it mandatory.Me: I'm not just blaming Trump, I blame every single person involved.: Ummm who mandated the vax for corporations??Me: Biden, and he should be in prison for that but there never would have been a vax in the first place if it wasn't fraudulently pushed through the FDA via Operation Warpspeed.: Your king, Pedo Joe, mandated the vax. Get it, or lose your job. Trump believed the vax was legit when it rolled out. Yet he never forced anyone. Get lost clown.Me: This is just dumb, look at my profile.: We still on this, guys? It’s been years. Their all rich pieces of shit. 🤣who caresMe: This is why people are never held accountable for their actions.: Sorry about your loss. We all lost someone, casualties of war. I’m 72. I figured it out. I always pray for wisdom and discernment. Trump told us from the beginning that HCQ was the cure. He told us he got Monoclonal antibodies. We were also told that disinformation was necessary.Me: That's great, you had time to figure it out, many people didn't have time to figure it out and they're dead now.: Birx and Fauci lied to TrumpMe: And they should be in prison but Trump was also told the truth and chose not to accept it."
Vaccine,0,"These aren't the same ""experts"" who changed their minds on the Covid Vaccine's  prevention percentages.They were real experts when it was 99% eff... 90% effecti...88% effective yeah, no, 70% effective at limiting spread, wait, not... Well it'll keep you alive but doesn't prevent"
Vaccine,9,Anybody interested in their vaccine status?
Vaccine,0,Remember when you were a grandma killer if you didn’t get the vaccine and *all* the boosters?
Vaccine,0,"Wait, he’s spreading that Covid is a fraud to make politicians rich and steal elections? Seems fair by what we’re hearing. Next thing we’ll hear is the vaccine is deadly"
Vaccine,0,😂😂  liked this complete nonsense tweet... I took the vaccine you tool.
Vaccine,1,"I actually got the vaccine. I am not telling other people what to do with their lives, but it has been pretty effective for me."
Vaccine,15,Vaccines don’t weaken ur immune system lol
Vaccine,4,"Holy shit, what’s with his voice, did he get a fake vaccine injury?"
Vaccine,1,I hear Pfizer and Moderna made a 'killing' with their vaccines...maybe find the money there. Might check with the FDA too. I hear their 'scientists' also caught some fat checks.
Vaccine,0,A vaccine that literally killed people
Vaccine,1,"Why in quotation marks? It's better than forcing ""vaccine"""
Vaccine,0,I guess you failed on the vaccine front?
Vaccine,6,I swear it is the news about how many lives they have destroyed with the vaccines and proof the United States and China created the covid-19 virus and released it on purpose.
Vaccine,1,I was going to suggest the same! Great book. Never refuted! Biggest takeaway from the first chapter is that NO VACCINE HAS EVER BEEN TESTED AGAINST A TRUE PLACEBO (SALINE)!
Vaccine,0,Do the fake vaccines stop the spread?
Vaccine,2,without that vaccine many many many more would of died.   look at this death mongerer....  disgusting.
Vaccine,0,"Hey, Chris, It's totally diff.  for a parent to make a choice about a child wearing a removable mask, or getting a vaccine, than it is to make permanent, life changing, body altering surgery. Can a parent say it is ok for a 12 yr old to buy alcohol even tho it's against the law?"
Vaccine,2,👇Those of you who are vaccine injured or have Long Covid
Vaccine,1,I heard that vaccines make you unrepressed and able to mind your own business
Vaccine,0,Actually you have no scientific facts as the science doesn’t support the vaccines which were never properly testedSad for you
Vaccine,16,It's absurd to blindly trust a person's medical advice when they said that masking two-year olds was a good idea and toddlers should get an untested vaccine for a disease that presents virtually zero harm to them.
Vaccine,0,But you fired good doctors because they had concens wirh the vaccine?Foolish
Vaccine,4,"I just got my sixth covid vaccine. I spoke to the chief pharmacist, and he said It's going to be every 6 months from now on. It was the moderna bivalent booster. Go get vaccinated!💉"
Vaccine,4,I’m immunocompromised and I took the vaccine. You chose not to take it.
Vaccine,2,"Yes and it's not just me who has come to that judgement. Despite what the media would have you believe, there are plenty of well qualified scientists and medics who disagree with the establishment narrative on lockdowns, vaccines, masks, early treatment."
Vaccine,0,Antigenic drift! 🤣Chasing it with vaccines helps right? 🤣Vaccines drive variants...pressure drives it...its 101 basic knowledge.
Vaccine,1,As the father of a 36 old daughter with autism I can tell you its the aluminum adjuvants and or Thimerosal a mercury-based preservative that has been used for decades in the United States in multi-dose vials (vials containing more than one dose) of medicines and vaccines.
Vaccine,0,A pre-brexit vaccine deterrent. High frequency electro-magnetic waves transmitted between the little bars would frazzle any vaccine.
Vaccine,1,Scary that anyone trusts Big Pharma anymore after they murdered people with their covid vaccine death shots.
Vaccine,0,I took the vaccine... I mean the virus itself. The one that came straight out of a science lab.
Vaccine,0,Attention pet parents! Does your pet need a vaccine and a groom? Book your appointments together and we'll give them a free exam! Call us at 513-738-9691 today! 📲 #NKY #Cincinnati #petparents #petcare #veterinarian #petlove
Vaccine,0,You have to love  . He makes more sense than anyone on either side of the debate👍 #COVID19 #vaccine #Pfizer #Military #government #Funding
Vaccine,20,"This vaccine had been tested and worked on since SARS and MERS, which is why it was not rushed."
Vaccine,1,Wont do anything if its vaccine caused damage and or lowered immune systems.
